Epoch,Train_Loss,Val_Loss,Val_Acc,EER,Learning_Rate,Timestamp
1,0.122672,0.001136,99.73,0.21,0.00000100,2025-08-27 14:52:45
2,0.005997,0.000369,99.90,0.07,0.00000100,2025-08-27 15:21:08
3,0.003552,0.000663,99.91,0.22,0.00000100,2025-08-27 15:49:47
4,0.001874,0.000535,99.91,0.14,0.00000100,2025-08-27 16:18:10
5,0.001661,0.000429,99.95,0.09,0.00000100,2025-08-27 16:46:36
6,0.001355,0.000368,99.92,0.08,0.00000100,2025-08-27 17:15:01
7,0.002217,0.000464,99.94,0.07,0.00000100,2025-08-27 17:43:20
8,0.000258,0.000294,99.96,0.09,0.00000100,2025-08-27 18:11:40
9,0.001041,0.000439,99.92,0.09,0.00000100,2025-08-27 18:40:01
10,0.001875,0.000042,99.98,0.02,0.00000100,2025-08-27 19:08:16
11,0.000254,0.000147,99.98,0.03,0.00000100,2025-08-27 19:36:42
12,0.000014,0.000184,99.98,0.04,0.00000100,2025-08-27 20:04:54
13,0.000006,0.000028,99.99,0.00,0.00000100,2025-08-27 20:33:07
14,0.005504,0.000191,99.97,0.04,0.00000100,2025-08-27 21:01:42
15,0.000038,0.000290,99.98,0.10,0.00000100,2025-08-27 21:30:08
16,0.000011,0.000293,99.97,0.03,0.00000100,2025-08-27 21:58:26
17,0.001070,0.000183,99.96,0.04,0.00000100,2025-08-27 22:26:45
18,0.000025,0.000156,99.98,0.03,0.00000100,2025-08-27 22:55:03
19,0.000008,0.000054,99.99,0.01,0.00000100,2025-08-27 23:23:21
