epoch,timestamp,train_loss,val_loss,val_acc,val_eer
0,29/08/2025 01:20,0.37807741657094407,0.11936296038753968,99.81886974722268,0.1076426264800861
1,29/08/2025 01:49,0.20478783944389511,0.058843126127805116,99.85509579777813,0.11212773591675637
2,29/08/2025 02:18,0.1752119929464252,0.01873249024610501,99.93157301561745,0.07176175098672408
3,29/08/2025 02:48,0.158382647809629,0.023638009062686937,99.93962324907423,0.09418729817007535
4,29/08/2025 03:16,0.14516880775848487,0.02360413456757974,99.90339719851876,0.12109795479009688
5,29/08/2025 03:45,0.15782268373250982,0.014161848904789678,99.947673482531,0.06279153211338358
6,29/08/2025 04:14,0.1493128857941565,0.014833540771150065,99.947673482531,0.13903839253677788
7,29/08/2025 04:44,0.14508310440941635,0.006878095405078072,99.95572371598776,0.026910656620021525
8,29/08/2025 05:12,0.13668652649971907,0.014436996316651714,99.96377394944453,0.04485109436670255
9,29/08/2025 05:41,0.1317733955897652,0.0058760209902384425,99.98389953308646,0.06279153211338358
10,29/08/2025 06:10,0.12570880256043993,0.007846806429478175,99.97584929962969,0.022425547183351276
11,29/08/2025 06:39,0.11678235253604632,0.0122878195137573,99.96377394944453,0.022425547183351276
12,29/08/2025 07:08,0.12618181390785035,0.006280235434984696,99.96377394944453,0.03588087549336204
13,29/08/2025 07:36,0.11149730050916773,0.00993000708993484,99.96377394944453,0.0493362038033728
14,29/08/2025 08:05,0.1178088328266378,0.007809135447909851,99.97584929962969,0.06279153211338358
15,29/08/2025 08:34,0.10554385581382883,0.011423491297742781,99.947673482531,0.07176175098672408
16,29/08/2025 09:03,0.10021193064307952,0.010528326934379323,99.95572371598776,0.022425547183351276
17,29/08/2025 09:31,0.10714070798310879,0.014862117331288031,99.9718241829013,0.022425547183351276
18,29/08/2025 10:00,0.09091655776454856,0.0071228627593669935,99.9718241829013,0.040365984930032295
19,29/08/2025 10:30,0.08867454334826771,0.012111157083470634,99.96779906617293,0.022425547183351276
